trade_id,date,stock_id,trader_id,volume_traded,trade_value
16d755c3-82bb-4790-a653-25a137baa522,2024-08-30,1935,14286,8465,2901124.8
12184288-a2ab-45d8-8c8a-85e382ffd424,2020-03-31,1443,19872,2815,549656.9
2f57d31b-5942-4db3-a2b8-d61cd00ba354,2023-02-14,1203,12195,9287,2472199.4
75fb8d01-b56b-4743-aa28-4845540b566d,2020-12-14,1351,14493,5445,2645671.05
8f6d2db2-4007-4eb6-99c7-88d70069b0c4,2023-02-08,1072,15593,9455,4283871.4
7b34e152-fc19-40e8-b7b9-b268533490ed,2024-01-31,1250,14141,795,249272.25
7e4e5ca7-1edb-4318-bf0e-ad831ac8a8f9,2020-11-20,1800,13648,8092,2286556.44
7f5fa720-d1fc-4aec-8b18-01905c9173b3,2023-03-28,1832,13645,5978,143232.88
a1f15f1b-1f03-485f-aab5-ac7468210542,2021-03-25,1195,13655,844,110926.92
cd0ebcf0-5c7e-4973-8016-738a5c56536e,2020-05-25,1420,11990,9073,3366899.57
1324317c-6398-4a29-a847-5b978a74e3c4,2023-07-05,1743,15870,2700,471771.0
c7dbc1f2-cd78-41bc-a1be-8ce3b4454b28,2021-04-25,1203,10726,778,282779.66
2f53828f-1f81-4754-afb9-dd6579ce3a96,2024-01-08,1560,17455,2776,974598.08
53afa108-80ed-4adb-a9a9-55b82e3132ed,2022-01-23,1448,12967,8949,2670381.6
3bafad3c-5844-41af-bddb-86070287dd68,2023-03-23,1405,18506,590,13015.4
a6fdade6-5e13-4601-af8a-234d28f7805d,2021-09-21,1742,18124,7409,616725.16
1b94ff9e-2b1e-41ea-af98-f3878e1afa21,2021-02-26,1033,14112,6976,2230994.56
091fa5b0-9c5a-4e26-995b-078111db4a4f,2021-09-17,1940,19151,4309,1711620.98
f19d808d-84fb-4b2d-894b-cad3935d7bf5,2021-05-18,1438,14654,5127,806682.18
8ed7be33-b38d-4a3c-8c2d-3b154f8368ee,2019-12-17,1636,10224,3883,1367670.26
212980f0-3b90-425e-9503-4075b8595083,2022-05-29,1410,11695,9938,1037626.58
4d4f787e-a53e-4c1d-9c2c-e1a7f7cb4cd5,2021-03-14,1990,16393,6289,2376424.43
4821dc9d-ad2f-4c93-9b87-6b7035060010,2023-06-24,1999,16602,3756,591194.4
35d2976a-4cb4-4854-8456-0151a7eeaafd,2022-11-23,1258,12861,154,28737.94
8b68d448-d520-4ec3-977a-ee6d2238e84f,2022-12-06,1326,11317,4334,553148.42
ea13e7d3-7b1e-4f1e-beb6-90b97d4b9cd2,2021-10-14,1154,10433,4490,852965.3
0ec8c0a7-3f6e-45d9-a8df-90061308b800,2023-11-05,1997,11178,8149,1359905.12
2df02f1d-8df9-4d65-af4f-b2136c64f89d,2024-03-04,1088,16667,3683,493153.7
4d83b408-b669-4a25-b571-0ee1f2ec436b,2023-01-08,1074,18892,5668,2765360.52
b4bd82c0-a98e-4dde-a699-6a2eeeb4e0e9,2023-03-05,1051,16348,7975,626516.0
4ae1a5b4-368d-4654-99ca-b67440c3d4b9,2024-02-25,1324,12787,3348,675191.16
da163a8a-a389-48f3-a788-1f9cefde6577,2024-05-29,1743,19938,7440,2758900.8
2f22d06f-9104-4324-9f34-196fad9a4d8b,2022-08-02,1195,11981,6318,761508.54
c9caa724-d154-4700-958d-9728ea9382f1,2020-04-24,1713,15147,8190,3459947.4
54582aa2-654b-487b-a853-9dfd92e32ebf,2020-12-27,1687,17455,8222,2148326.38
e04d9262-42e9-4950-aabe-180ce4d369ea,2024-02-07,1740,11141,9145,2172120.4
3beb7f53-3c71-4b5e-8cf6-db4cea7d6f5e,2020-01-04,1510,18208,2438,1216927.7
ece44e6b-ef5b-4b50-93ce-81572efb9384,2022-11-15,1426,11292,2736,909692.64
9e968c44-cf4a-4e19-8643-b57efa42e5cd,2024-07-31,1700,10246,7106,418188.1
b1075442-a1c4-4927-a087-d35e1e74bfe8,2021-03-20,1739,19933,5868,659035.08
2affc820-4a2d-431f-bfc1-7fc4338e448c,2021-02-25,1411,14639,1668,341356.2
38bc08e7-8410-4c9d-b84c-535a184b5a33,2022-04-05,1711,15286,1813,753482.8
123e3f95-afb0-4b3f-a68b-025e9607ace5,2023-01-31,1964,17889,2042,549747.24
2b73f8ab-a7a2-4bbe-b426-9b198f29de4a,2020-09-02,1446,11305,8400,1183392.0
89b1f5a1-6bef-41c8-9462-b9ed18dfa0df,2020-01-28,1073,13234,1465,502436.4
ad323814-507d-45b1-a8db-b12d432e8807,2019-11-05,1933,18629,5807,2757221.67
934a6fdf-4500-4de4-bd03-ad9af86f297b,2021-01-04,1071,11556,2616,153768.48
878d8e23-a9d8-4312-99ad-45134bcdb3a1,2023-04-05,1362,16359,7795,2727002.8
